id,intakedate,intakereason,istransfer,sheltercode,identichipnumber,animalname,breedname,basecolour,speciesname,animalage,sexname,location,movementdate,movementtype,istrial,returndate,returnedreason,deceaseddate,deceasedreason,diedoffshelter,puttosleep,isdoa
47414,2017-02-16 00:00:00,Abandoned,0,D17021424,981020021060979,Beemo,Pitbull/Mix,Blue,Dog,6 years 2 months.,Male,Stray Dogs Beta,2017-09-02 00:00:00,Reclaimed,0,,Stray,,Died in care,0,0,0
47429,2017-02-18 00:00:00,Abandoned,0,C17021438,981020021046343,Ellen,British Shorthair/Unknown,Grey,Cat,11 years 0 months.,Female,Office,2017-03-05 00:00:00,Foster,0,2017-04-26 00:00:00,Stray,,Died in care,0,0,0
47429,2017-02-18 00:00:00,Abandoned,0,C17021438,981020021046343,Ellen,British Shorthair/Unknown,Grey,Cat,11 years 0 months.,Female,Office,2017-04-26 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
"47432,2017-02-18 00:00:00,Abandoned,0,R17021441,"""",Fitzgerald,American,Black,Rabbit,3 years 0 months.,Male,Lobby,2017-03-30 00:00:00,Foster,0,2017-04-17 00:00:00,Stray,,Died in care,0,0,0"
"47432,2017-02-18 00:00:00,Abandoned,0,R17021441,"""",Fitzgerald,American,Black,Rabbit,3 years 0 months.,Male,Lobby,2017-05-01 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0"
47502,2017-02-27 00:00:00,Marriage/Relationship split,0,D17021511,981020015101070,Zoey,Pitbull/Mix,Grey and White,Dog,2 years 0 months.,Female,Stray Dogs Beta,2017-04-08 00:00:00,Adoption,0,2017-05-05 00:00:00,Marriage/Relationship split,,Died in care,0,0,0
47502,2017-02-27 00:00:00,Marriage/Relationship split,0,D17021511,981020015101070,Zoey,Pitbull/Mix,Grey and White,Dog,2 years 0 months.,Female,Stray Dogs Beta,2017-06-01 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
47510,2017-02-28 00:00:00,Abandoned,0,C17021519,981020021059390,Maureen,Domestic Short Hair,Brown and Black,Cat,1 year 11 months.,Female,Adoptable Cat Big Colony,2017-04-02 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
47511,2017-02-28 00:00:00,Abandoned,0,C17021520,981020021064555,Janet,DSH/Unknown,Grey,Cat,3 years 6 months.,Female,Adoptable Cat Small Colony,2017-04-01 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
47520,2017-03-02 00:00:00,Abandoned,0,C17031529,981020021039765,Ruce,DSH/Unknown,Black and White,Cat,3 years 2 months.,Male,Adoptable Cat Big Colony,2017-04-04 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
47521,2017-03-02 00:00:00,Abandoned,0,C17031530,981020021063627,Ramsay,DSH/Unknown,Orange and White,Cat,3 years 2 months.,Male,Adoptable Cat Kennels,2017-04-07 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
47538,2017-03-04 00:00:00,Abandoned,0,D17031547,981020021050526,Gus,Labrador Retriever/Coonhound,Chocolate,Dog,2 years 0 months.,Male,Foster,2017-04-03 00:00:00,Adoption,0,,Stray,,Healthy,0,0,0
47539,2017-03-04 00:00:00,Abandoned,0,C17031548,981020021038500,Zack Attack,DSH/Unknown,Grey and White,Cat,4 years 0 months.,Male,Adoptable Cat Glass Colony,2017-04-01 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
47540,2017-03-04 00:00:00,Abandoned,0,C17031549,981020021071498,Buggs,DSH/Unknown,Black,Cat,1 year 3 months.,Male,Adoptable Cat Glass Colony,2017-04-01 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
"47558,2017-03-06 00:00:00,Abandoned,0,D17031567,981020021074652,Clyde,""Golden Retriever/Poodle, Standard"",Golden,Dog,4 years 10 months.,Male,Adoptable Dogs,2017-03-29 00:00:00,Adoption,0,2017-04-04 00:00:00,Incompatible,,Died in care,0,0,0"
"47558,2017-03-06 00:00:00,Abandoned,0,D17031567,981020021074652,Clyde,""Golden Retriever/Poodle, Standard"",Golden,Dog,4 years 10 months.,Male,Adoptable Dogs,2017-04-12 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0"
47562,2017-03-06 00:00:00,Abandoned,0,C17031571,981020021050917,Garden,DSH/Unknown,White,Cat,6 years 0 months.,Male,Adoptable Cat Kennels,2017-03-31 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
47575,2017-03-07 00:00:00,Moving,0,D17031584,982000407818195,Bella2,Mastiff,Brindle,Dog,3 years 6 months.,Female,Adoptable Dogs,2017-03-10 00:00:00,Foster,0,2017-04-15 00:00:00,Stray,,Died in care,0,0,0
47575,2017-03-07 00:00:00,Moving,0,D17031584,982000407818195,Bella2,Mastiff,Brindle,Dog,3 years 6 months.,Female,Adoptable Dogs,2017-04-15 00:00:00,Adoption,0,2017-05-12 00:00:00,Incompatible,,Died in care,0,0,0
47575,2017-03-07 00:00:00,Moving,0,D17031584,982000407818195,Bella2,Mastiff,Brindle,Dog,3 years 6 months.,Female,Adoptable Dogs,2017-05-12 00:00:00,Foster,0,2017-05-15 00:00:00,Stray,,Died in care,0,0,0
47575,2017-03-07 00:00:00,Moving,0,D17031584,982000407818195,Bella2,Mastiff,Brindle,Dog,3 years 6 months.,Female,Adoptable Dogs,2017-05-16 00:00:00,Adoption,0,2017-12-27 00:00:00,Moving,,Died in care,0,0,0
47575,2017-03-07 00:00:00,Moving,0,D17031584,982000407818195,Bella2,Mastiff,Brindle,Dog,3 years 6 months.,Female,Adoptable Dogs,2017-12-30 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
47576,2017-03-07 00:00:00,Abandoned,0,D17031585,981020021070950,Patty,Pitbull,Tan,Dog,2 years 5 months.,Female,Adoptable Dogs,2017-06-05 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
47582,2017-03-07 00:00:00,Abandoned,0,D17031591,981020013554158,Dibs,Pitbull/Mix,White,Dog,2 years 2 months.,Male,Stray Dogs Beta,2017-04-25 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
47591,2017-03-09 00:00:00,Abandoned,0,D17031600,981020021857251,Serafina,Papillon,White,Dog,6 years 0 months.,Female,Foster,2017-03-16 00:00:00,Foster,0,2017-05-22 00:00:00,Stray,,Died in care,0,0,0
47591,2017-03-09 00:00:00,Abandoned,0,D17031600,981020021857251,Serafina,Papillon,White,Dog,6 years 0 months.,Female,Foster,2017-05-22 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
47595,2017-03-09 00:00:00,Owner Deceased,0,C17031604,981020021043067,Zips,Domestic Short Hair,Black and White,Cat,8 years 0 months.,Female,Adoptable Cat Big Colony,2017-06-16 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
47613,2017-03-10 00:00:00,Abandoned,0,D17031620,981020021074093,Waylon,Beagle,Tricolour,Dog,4 years 0 months.,Male,Stray Dogs Beta,2017-04-02 00:00:00,Adoption,0,2017-09-05 00:00:00,Stray,,Died in care,0,0,0
47613,2017-03-10 00:00:00,Abandoned,0,D17031620,981020021074093,Waylon,Beagle,Tricolour,Dog,4 years 0 months.,Male,Stray Dogs Beta,2017-09-05 00:00:00,Reclaimed,0,2017-09-05 00:00:00,Incompatible,,Died in care,0,0,0
47613,2017-03-10 00:00:00,Abandoned,0,D17031620,981020021074093,Waylon,Beagle,Tricolour,Dog,4 years 0 months.,Male,Stray Dogs Beta,2017-09-06 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
47617,2017-03-10 00:00:00,Abandoned,0,C17031624,981020021055166,Jesse,DSH/Unknown,Grey and White,Cat,5 years 0 months.,Female,Adoptable Cat Kennels,2017-04-07 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
47627,2017-03-11 00:00:00,Abandoned,0,C17031634,981020021823219,Binks,DSH/Unknown,Buff,Cat,1 year 0 months.,Male,Feline Nursery,2017-04-06 00:00:00,Foster,0,2017-05-10 00:00:00,Stray,,Died in care,0,0,0
47627,2017-03-11 00:00:00,Abandoned,0,C17031634,981020021823219,Binks,DSH/Unknown,Buff,Cat,1 year 0 months.,Male,Feline Nursery,2017-05-14 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
47628,2017-03-11 00:00:00,Abandoned,0,C17031635,981020021850559,Bobbin,DSH/Unknown,Fawn,Cat,1 year 0 months.,Male,Adoptable Cat Kennels,2017-04-06 00:00:00,Foster,0,2017-05-17 00:00:00,Stray,,Died in care,0,0,0
47628,2017-03-11 00:00:00,Abandoned,0,C17031635,981020021850559,Bobbin,DSH/Unknown,Fawn,Cat,1 year 0 months.,Male,Adoptable Cat Kennels,2017-05-18 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
47629,2017-03-11 00:00:00,Abandoned,0,C17031636,981020021848969,Binkie,DSH/Unknown,Buff,Cat,1 year 0 months.,Male,Adoptable Cat Kennels,2017-04-06 00:00:00,Foster,0,2017-05-17 00:00:00,Stray,,Died in care,0,0,0
47629,2017-03-11 00:00:00,Abandoned,0,C17031636,981020021848969,Binkie,DSH/Unknown,Buff,Cat,1 year 0 months.,Male,Adoptable Cat Kennels,2017-05-18 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
47630,2017-03-11 00:00:00,Abandoned,0,C17031637,981020021811770,Stan,DSH/Unknown,Orange,Cat,1 year 0 months.,Male,Adoptable Cat Small Colony,2017-04-06 00:00:00,Foster,0,2017-04-18 00:00:00,Stray,,Died in care,0,0,0
47630,2017-03-11 00:00:00,Abandoned,0,C17031637,981020021811770,Stan,DSH/Unknown,Orange,Cat,1 year 0 months.,Male,Adoptable Cat Small Colony,2017-04-18 00:00:00,Foster,0,2017-05-10 00:00:00,Stray,,Died in care,0,0,0
47630,2017-03-11 00:00:00,Abandoned,0,C17031637,981020021811770,Stan,DSH/Unknown,Orange,Cat,1 year 0 months.,Male,Adoptable Cat Small Colony,2017-05-16 00:00:00,Foster,0,2017-06-15 00:00:00,Stray,,Died in care,0,0,0
47630,2017-03-11 00:00:00,Abandoned,0,C17031637,981020021811770,Stan,DSH/Unknown,Orange,Cat,1 year 0 months.,Male,Adoptable Cat Small Colony,2017-06-15 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
47631,2017-03-11 00:00:00,Abandoned,0,C17031638,981020021814036,Boomer,DLH/Unknown,Orange,Cat,1 year 0 months.,Male,Feline Nursery,2017-04-06 00:00:00,Foster,0,2017-04-18 00:00:00,Stray,,Died in care,0,0,0
47631,2017-03-11 00:00:00,Abandoned,0,C17031638,981020021814036,Boomer,DLH/Unknown,Orange,Cat,1 year 0 months.,Male,Feline Nursery,2017-04-18 00:00:00,Foster,0,2017-05-10 00:00:00,Stray,,Died in care,0,0,0
47631,2017-03-11 00:00:00,Abandoned,0,C17031638,981020021814036,Boomer,DLH/Unknown,Orange,Cat,1 year 0 months.,Male,Feline Nursery,2017-05-11 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
